period,model,mse_mean,mse_std,msIC_mean,msIC_std,msIR_mean,direction_accuracy_mean,sign_change_ratio_mean,pos_pred_ratio_mean,regime_count,n_runs
POST_COVID,Autoformer,0.0002,0.0,0.003,0.0491,0.007,0.4964,0.3219,0.439,0,3
POST_COVID,Crossformer,0.0002,0.0,0.018,0.0129,0.0351,0.5101,0.3563,0.81,1,3
POST_COVID,DLinear,0.0002,0.0,-0.0226,0.0033,-0.0445,0.4917,0.4735,0.4836,0,3
POST_COVID,FEDformer,0.0002,0.0,0.0154,0.0194,0.0306,0.5117,0.347,0.5705,0,3
POST_COVID,Koopa,0.0002,0.0,0.0058,0.0213,0.012,0.5138,0.3512,0.5364,0,3
POST_COVID,Naive,0.0004,0.0,0.0113,0.0248,0.0219,0.4948,0.1011,0.5052,0,3
POST_COVID,PatchTST,0.0002,0.0,-0.028,0.0417,-0.0536,0.5059,0.5107,0.4639,0,3
POST_COVID,TSMixer,0.0002,0.0,-0.0116,0.031,-0.0217,0.498,0.4939,0.5238,0,3
POST_COVID,TiDE,0.0002,0.0,-0.0188,0.0308,-0.038,0.4987,0.4712,0.4274,0,3
POST_COVID,TimeMixer,0.0002,0.0,0.0116,0.0014,0.0242,0.5117,0.2366,0.2741,0,3
POST_COVID,TimesNet,0.0002,0.0,0.0211,0.0047,0.0428,0.5148,0.3908,0.653,0,3
POST_COVID,Transformer,0.0002,0.0,0.0059,0.023,0.0126,0.4987,0.2827,0.6571,0,6
POST_COVID,iTransformer,0.0002,0.0,0.0275,0.0296,0.0544,0.5199,0.4681,0.5127,0,3
RECENT10,Autoformer,0.0002,0.0,-0.0355,0.0268,-0.0721,0.4898,0.3291,0.3916,0,3
RECENT10,Crossformer,0.0002,0.0,-0.0009,0.0161,-0.002,0.5001,0.3665,0.2932,0,3
RECENT10,DLinear,0.0002,0.0,-0.0057,0.009,-0.0114,0.4955,0.4673,0.59,0,3
RECENT10,FEDformer,0.0002,0.0,-0.0103,0.0206,-0.0201,0.4909,0.2857,0.2032,0,3
RECENT10,Koopa,0.0002,0.0,0.0149,0.031,0.0298,0.5109,0.461,0.578,0,3
RECENT10,Naive,0.0004,0.0,-0.0023,0.0344,-0.0045,0.4913,0.1017,0.5009,0,3
RECENT10,PatchTST,0.0002,0.0,0.016,0.0261,0.0319,0.501,0.4842,0.5282,0,3
RECENT10,TSMixer,0.0002,0.0,0.0064,0.0179,0.0129,0.5049,0.4715,0.4933,0,3
RECENT10,TiDE,0.0002,0.0,0.0034,0.0054,0.0067,0.4883,0.5033,0.5205,0,3
RECENT10,TimeMixer,0.0002,0.0001,-0.0235,0.0159,-0.0474,0.5,0.2215,0.4766,0,3
RECENT10,TimesNet,0.0002,0.0,-0.0034,0.0173,-0.0072,0.4978,0.3456,0.5955,0,3
RECENT10,Transformer,0.0002,0.0,0.0098,0.0104,0.0198,0.5003,0.0914,0.823,3,6
RECENT10,iTransformer,0.0002,0.0,0.0124,0.0017,0.0246,0.4992,0.4501,0.5858,0,3
