Model,Sharpe Ratio,Direction Accuracy,Information Coef.,Max Drawdown,N Runs
Transformer,0.018 ± 0.023,53.3% ± 0.3%,0.0119 ± 0.0024,100.0%,3
Informer,-0.003 ± 0.036,53.4% ± 0.3%,0.0340 ± 0.0090,100.0%,3
Naive,-0.464 ± 0.001,49.7% ± 0.0%,0.0023 ± 0.0000,100.0%,3
Crossformer,-0.664 ± 0.249,49.9% ± 1.4%,0.0011 ± 0.0028,86.3%,3
FEDformer,-0.673 ± 0.105,51.4% ± 0.5%,-0.0341 ± 0.0077,100.0%,3
Autoformer,-0.769 ± 0.073,51.2% ± 0.3%,-0.0337 ± 0.0077,100.0%,3
TimesNet,-0.773 ± 0.401,50.3% ± 2.3%,-0.0030 ± 0.0232,100.0%,3
TimeMixer,-0.854 ± 0.078,50.7% ± 0.4%,-0.0061 ± 0.0087,100.0%,3
DLinear,-0.903 ± 0.069,51.8% ± 0.2%,0.0190 ± 0.0059,100.0%,3
iTransformer,-0.935 ± 0.103,50.9% ± 0.9%,0.0137 ± 0.0030,100.0%,3
TiDE,-0.941 ± 0.070,51.6% ± 0.3%,0.0109 ± 0.0021,100.0%,3
PatchTST,-0.969 ± 0.026,50.9% ± 0.4%,-0.0200 ± 0.0174,100.0%,3
