PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,OPENPRC,RETX
14593,1980-12-12,28.75000,28.87500,-28.81250,,C,,C
14593,1980-12-15,27.25000,27.37500,-27.31250,,-0.052061,,-0.052061
14593,1980-12-16,25.25000,25.37500,-25.31250,,-0.073227,,-0.073227
14593,1980-12-17,25.87500,26.00000,-25.93750,,0.024691,,0.024691
14593,1980-12-18,26.62500,26.75000,-26.68750,,0.028916,,0.028916
14593,1980-12-19,28.25000,28.37500,-28.31250,,0.060890,,0.060890
14593,1980-12-22,29.62500,29.75000,-29.68750,,0.048565,,0.048565
14593,1980-12-23,30.87500,31.00000,-30.93750,,0.042105,,0.042105
14593,1980-12-24,32.50000,32.62500,-32.56250,,0.052525,,0.052525
14593,1980-12-26,35.50000,35.62500,-35.56250,,0.092131,,0.092131
14593,1980-12-29,36.00000,36.12500,-36.06250,,0.014060,,0.014060
14593,1980-12-30,35.12500,35.25000,-35.18750,,-0.024263,,-0.024263
14593,1980-12-31,34.12500,34.25000,-34.18750,,-0.028419,,-0.028419
14593,1981-01-02,34.50000,34.75000,-34.62500,,0.012797,,0.012797
14593,1981-01-05,33.75000,33.87500,-33.81250,,-0.023466,,-0.023466
14593,1981-01-06,32.25000,32.37500,-32.31250,,-0.044362,,-0.044362
14593,1981-01-07,30.87500,31.00000,-30.93750,,-0.042553,,-0.042553
14593,1981-01-08,30.25000,30.37500,-30.31250,,-0.020202,,-0.020202
14593,1981-01-09,31.87500,32.00000,-31.93750,,0.053608,,0.053608
14593,1981-01-12,31.62500,31.87500,-31.75000,,-0.005871,,-0.005871
14593,1981-01-13,30.50000,30.62500,-30.56250,,-0.037402,,-0.037402
14593,1981-01-14,30.62500,30.75000,-30.68750,,0.004090,,0.004090
14593,1981-01-15,31.25000,31.50000,-31.37500,,0.022403,,0.022403
14593,1981-01-16,31.00000,31.12500,-31.06250,,-0.009960,,-0.009960
14593,1981-01-19,32.87500,33.00000,-32.93750,,0.060362,,0.060362
14593,1981-01-20,31.87500,32.00000,-31.93750,,-0.030361,,-0.030361
14593,1981-01-21,32.50000,32.75000,-32.62500,,0.021526,,0.021526
14593,1981-01-22,32.87500,33.12500,-33.00000,,0.011494,,0.011494
14593,1981-01-23,32.75000,33.00000,-32.87500,,-0.003788,,-0.003788
14593,1981-01-26,32.25000,32.37500,-32.31250,,-0.017110,,-0.017110
14593,1981-01-27,32.00000,32.25000,-32.12500,,-0.005803,,-0.005803
14593,1981-01-28,31.00000,31.12500,-31.06250,,-0.033074,,-0.033074
14593,1981-01-29,29.87500,30.00000,-29.93750,,-0.036217,,-0.036217
14593,1981-01-30,28.25000,28.50000,-28.37500,,-0.052192,,-0.052192
14593,1981-02-02,26.62500,26.75000,-26.68750,,-0.059471,,-0.059471
14593,1981-02-03,27.62500,27.75000,-27.68750,,0.037471,,0.037471
14593,1981-02-04,28.62500,28.75000,-28.68750,,0.036117,,0.036117
14593,1981-02-05,28.62500,28.87500,-28.75000,,0.002179,,0.002179
14593,1981-02-06,28.75000,28.87500,-28.81250,,0.002174,,0.002174
14593,1981-02-09,27.25000,27.50000,-27.37500,,-0.049892,,-0.049892
14593,1981-02-10,27.25000,27.37500,-27.31250,,-0.002283,,-0.002283
14593,1981-02-11,26.37500,26.50000,-26.43750,,-0.032037,,-0.032037
14593,1981-02-12,26.12500,26.25000,-26.18750,,-0.009456,,-0.009456
14593,1981-02-13,25.50000,25.75000,-25.62500,,-0.021480,,-0.021480
14593,1981-02-17,26.12500,26.25000,-26.18750,,0.021951,,0.021951
14593,1981-02-18,27.25000,27.50000,-27.37500,,0.045346,,0.045346
14593,1981-02-19,25.62500,25.75000,-25.68750,,-0.061644,,-0.061644
14593,1981-02-20,24.25000,24.37500,-24.31250,,-0.053528,,-0.053528
14593,1981-02-23,24.62500,24.75000,-24.68750,,0.015424,,0.015424
14593,1981-02-24,23.75000,24.00000,-23.87500,,-0.032911,,-0.032911
